"","ID","hour0","hour1","hour10","hour11","hour12","hour13","hour14","hour15","hour16","hour17","hour18","hour19","hour2","hour20","hour21","hour22","hour23","hour3","hour4","hour5","hour6","hour7","hour8","hour9"
"290",290,"33","22","1","1","3","3","1","1","1","1","4","4","5","1","1","1","42","15","44","35","42","1","1","1"
"291",291,"22","2","1","1","3","1","1","2","5","2","1","1","28","1","1","1","23","20","47","60","35","1","1","1"
"292",292,"16","8","1","1","1","1","1","3","2","4","5","1","29","1","1","1","34","32","50","51","31","1","1","1"
"293",293,"60","43","1","1","1","3","1","1","1","1","4","4","33","1","1","1","23","9","35","63","59","1","1","1"
"294",294,"25","38","1","1","1","1","1","3","2","4","5","1","63","1","1","1","63","28","26","18","5","1","1","1"
"295",295,"22","76","1","1","1","5","1","1","1","1","2","3","41","1","1","1","64","53","28","40","9","1","1","1"
"296",296,"41","15","1","1","1","5","1","1","1","1","2","6","3","1","1","1","68","40","46","6","9","1","1","1"
"297",297,"26","21","1","1","1","4","1","5","1","1","2","3","4","1","1","1","12","38","13","7","62","1","1","1"
"298",298,"43","22","1","1","1","3","1","1","1","1","4","4","4","1","1","1","2","54","14","45","40","1","1","1"
"299",299,"40","84","1","1","1","3","1","1","6","1","4","4","8","1","1","1","3","25","42","25","46","1","1","1"
"300",300,"57","15","1","1","1","3","1","1","1","1","4","4","25","1","1","1","30","24","23","35","2","1","1","1"
"301",301,"43","80","1","1","1","5","1","1","1","1","2","3","37","1","1","20","39","40","19","19","39","1","1","1"
"302",302,"52","63","1","1","1","3","1","1","6","1","4","4","29","1","1","1","23","25","25","15","60","1","1","1"
"303",303,"20","44","1","1","1","5","1","1","1","1","2","3","3","1","1","24","17","11","34","19","22","1","1","1"
"304",304,"14","29","1","1","1","3","1","1","1","1","4","1","59","1","1","2","77","47","27","62","40","1","1","1"
"305",305,"26","22","1","1","1","2","1","1","1","1","2","2","63","1","1","22","5","23","56","50","18","1","1","1"
"306",306,"43","1","1","1","1","4","1","5","4","1","2","1","66","1","1","1","22","26","26","9","9","1","1","1"
