"","stations","lon","lat","address"
"342","Chadwell Street, Angel, London, United Kingdom",-0.1064871,51.5304514,"chadwell st, the angel, london ec1r, uk"
"343","Westferry Circus, Canary Wharf, London, United Kingdom",-0.0271232,51.5060153,"westferry circus, canary wharf, london, uk"
"344","Queensbridge Road, Haggerston, London, United Kingdom",-0.0702926,51.5381517,"queensbridge rd, haggerston, london, uk"
"345","New Inn Yard, Shoreditch, London, United Kingdom",-0.0788878,51.5245213,"new inn yard, shoreditch, london ec2a, uk"
"346","Commercial Street, Shoreditch, London, United Kingdom",-0.0772112,51.5226122,"commercial st, shoreditch, london, uk"
"347","Bevington Road West, North Kensington, London, United Kingdom",-0.2076607,51.5208259,"bevington rd, london w10, uk"
"348","Sackville Street, Mayfair, London, United Kingdom",-0.1382476,51.5094884,"sackville st, mayfair, london, uk"
"349","Turquoise Island, Notting Hill, London, United Kingdom",-0.201326,51.5141886,"222 westbourne grove, greater, notting hill, london w11 2rh, uk"
"350","Finlay Street, Fulham, London, United Kingdom",-0.2181388,51.4756692,"finlay st, fulham, london sw6, uk"
"351","Plough Terrace, Clapham Junction, London, United Kingdom",-0.175132,51.461589,"plough terrace, battersea, london sw11, uk"
"352","Curlew Street, Shad Thames, London, United Kingdom",-0.0731091,51.5032772,"shad thames & curlew street, london se1, uk"
"353","Tower Gardens , Tower, London, United Kingdom",-0.125,51.4969444,"victoria tower gardens, millbank, westminster, london sw1p 3ja, uk"
"354","The Tennis Courts, The Regent's Park, London, United Kingdom",-0.153803,51.525577,"york bridge, inner cir, london nw1 4nu, uk"
"355","Wormwood Street, Liverpool Street, London, United Kingdom",-0.0821101,51.5158901,"wormwood street (stop w), cornhill, london ec2m 3xf, uk"
"356","Moorfields, Moorgate, London, United Kingdom",-0.0888,51.5188,"45 moorfields, moorgate, finsbury, london ec2y 9ae, uk"
"357","Jubilee Plaza, Canary Wharf, London, United Kingdom",-0.0225893,51.5035173,"jubilee, canary wharf, london, uk"
"358","Curzon Street, Mayfair, London, United Kingdom",-0.1479117,51.5067058,"curzon st, mayfair, london, uk"
"359","Lower Marsh, Waterloo, London, United Kingdom",-0.1125251,51.5009563,"lower marsh, south bank, london se1, uk"
"360","Drury Lane, Covent Garden, London, United Kingdom",-0.1211743,51.5141879,"drury ln, covent garden, london, uk"
"361","South Wharf Road, Paddington, London, United Kingdom",-0.1737822,51.5177733,"s wharf rd, paddington, london w2, uk"
"362","Pott Street, Bethnal Green, London, United Kingdom",-0.0573963,51.5265253,"pott st, london e2, uk"
"363","Jubilee Crescent, Cubitt Town, London, United Kingdom",-0.0080978,51.49331,"jubilee crescent, poplar, london e14 3hn, uk"
"364","Granby Street, Shoreditch, London, United Kingdom",-0.0694891,51.5251818,"granby st, london, uk"
"365","North Wharf Road, Paddington, London, United Kingdom",-0.1757428,51.518776,"n wharf rd, paddington, london w2, uk"
"366","Gower Place , Euston, London, United Kingdom",-0.1361136,51.5257161,"euston rd & n gower st, london nw1 2ng, uk"
"367","Holden Street, Battersea, London, United Kingdom",-0.1575537,51.4688616,"holden st, battersea, london sw11, uk"
"368","Orbel Street, Battersea, London, United Kingdom",-0.1707236,51.4744225,"orbel st, battersea, london sw11, uk"
"369","Napier Avenue, Millwall, London, United Kingdom",-0.0210897,51.4881209,"napier ave, isle of dogs, london, uk"
"370","Park Lane , Hyde Park, London, United Kingdom",-0.1657303,51.5072682,"hyde park, london, uk"
"371","Theobald's Road , Holborn, London, United Kingdom",-0.1174057,51.5204618,"theobalds rd, holborn, london, uk"
"372","Manresa Road, Chelsea, London, United Kingdom",-0.1714695,51.4875332,"manresa rd, chelsea, london sw3, uk"
"373","Humbolt Road, Fulham, London, United Kingdom",-0.2121723,51.4837932,"humbolt rd, fulham, london, uk"
"374","All Saints Church, Portobello, London, United Kingdom",-0.2029022,51.5165237,"6 clydesdale rd, notting hill, london w11 1je, uk"
