"","stations","lon","lat","address"
"54","0037 Hornby & Nelson, Vancouver, British Columbia",-123.12482,49.28062,"vancouver, bc v6z 1v3, canada"
"55","0174 1st & Ontario, Vancouver, British Columbia",-123.1063661,49.2702373,"88w w 1st ave, vancouver, bc v5y 3k8, canada"
"56","0601 Olympic Village Station, Vancouver, British Columbia",-123.1157361,49.2665315,"olympic village, cambie st bridge, vancouver, bc v5z, canada"
"57","0206 8th & Scotia, Vancouver, British Columbia",-123.0992155,49.2636457,"290-298 e 8th ave, vancouver, bc v5t 0b2, canada"
"58","0241 4th & Commercial, Vancouver, British Columbia",-123.0699359,49.266969,"vancouver, bc v5n 4a8, canada"
"59","0069 7th & Granville, Vancouver, British Columbia",-123.1383301,49.265385,"1498-1472 w 7th ave, vancouver, bc v6h 4h2, canada"
"60","0011 Ontario & Seawall, Vancouver, British Columbia",-85.323214,51.253775,"ontario, canada"
"61","0004 Yaletown-Roundhouse Station, Vancouver, British Columbia",-123.1218721,49.2745813,"yaletown-roundhouse, district of freedom#8573311~!#, davie st, vancouver, bc v6b 0h8, canada"
"62","0066 Anderson & 2nd, Vancouver, British Columbia",-123.1378551,49.2694505,"anderson st, vancouver, bc v6h, canada"
"63","0166 Alder & 11th, Vancouver, British Columbia",-123.1314801,49.261742,"vancouver, bc v6h 1k6, canada"
"64","0208 Arbutus Greenway & Broadway, Vancouver, British Columbia",-123.1552554,49.2356325,"arbutus greenway, vancouver, bc, canada"
"65","0081 7th & Heather, Vancouver, British Columbia",-123.119425,49.265089,"vancouver, bc v5z 3h6, canada"
"66","0204 York & Yew, Vancouver, British Columbia",-76.727745,39.9625984,"york, pa, usa"
"67","0248 St George & Broadway, Vancouver, British Columbia",-123.0930614,49.2624686,"mount pleasant, bc v5t 1x3, canada"
"68","0148 Creekside Park North, Vancouver, British Columbia",-123.102661,49.2756,"vancouver, bc v6z 2r6, canada"
"69","0084 Sunset Beach West, Vancouver, British Columbia",-123.139901,49.281405,"vancouver, bc v6e 1v3, canada"
"70","0218 Carrall & Seawall, Vancouver, British Columbia",-123.10651,49.2763069,"vancouver, bc v6z 2r6, canada"
"71","0235 Charles & Commercial, Vancouver, British Columbia",-123.069892,49.273103,"vancouver, bc v5l 2t4, canada"
"72","0024 Hornby & Pender, Vancouver, British Columbia",-123.116624,49.28602,"vancouver, bc v6c 3j1, canada"
"73","0112 10th & Oak, Vancouver, British Columbia",-123.1262171,49.262255,"vancouver, bc v6h 3z6, canada"
"74","0028 Davie & Beach, Vancouver, British Columbia",-123.142139,49.287528,"vancouver, bc v6g, canada"
"75","0130 Heather & 16th, Vancouver, British Columbia",-123.1201446,49.2566856,"south cambie, vancouver, bc v5z 3k4, canada"
"76","0041 Cardero & Robson, Vancouver, British Columbia",-123.132184,49.289581,"vancouver, bc v6g 2g4, canada"
"77","0030 Abbott & Cordova, Vancouver, British Columbia",-123.1069551,49.282759,"vancouver, bc v6b 0g6, canada"
"78","0211 14th & Alder, Vancouver, British Columbia",-123.1313169,49.258819,"vancouver, bc v6h 4c3, canada"
"79","0027 Beatty & Nelson, Vancouver, British Columbia",-123.116963,49.2756789,"vancouver, bc v6z 3c5, canada"
"80","0237 Glen & 6th, Vancouver, British Columbia",-123.08127,49.2650239,"vancouver, bc v5t, canada"
"81","0153 Arbutus Greenway & Fir, Vancouver, British Columbia",-123.1552554,49.2356325,"arbutus greenway, vancouver, bc, canada"
"82","0108 1st & Chestnut, Vancouver, British Columbia",-123.1461751,49.270721,"vancouver, bc v6j, canada"
"83","0239 Grant & Commercial, Vancouver, British Columbia",-123.069416,49.271377,"vancouver, bc v5l 3x9, canada"
"84","0244 10th & Commercial, Vancouver, British Columbia",-123.0700734,49.261399,"1670-1676 e 10th ave, vancouver, bc v5n 1x5, canada"
"85","0026 Beatty & Robson, Vancouver, British Columbia",-123.114279,49.2774829,"vancouver, bc v6b 2a6, canada"
"86","0231 Napier & Commercial, Vancouver, British Columbia",176.9120178,-39.4928444,"napier, new zealand"
"87","0133 Ontario & 16th, Vancouver, British Columbia",-85.323214,51.253775,"ontario, canada"
"88","0025 Homer & Robson, Vancouver, British Columbia",-123.116251,49.279739,"vancouver, bc v6b 6b3, canada"
"89","0152 Arbutus Greenway & 14th, Vancouver, British Columbia",-123.1552554,49.2356325,"arbutus greenway, vancouver, bc, canada"
"90","0070 10th & Granville, Vancouver, British Columbia",-123.138921,49.2625979,"vancouver, bc v6h 3h3, canada"
