"","id","fast_greedy","walks","infomap","louvain"
"137","0250 Woodland & 4th",2,1,1,1
"138","0252 Woodland & Graveley",2,1,1,1
"139","0253 Charles & Woodland",2,3,1,1
"140","0255 18th & Main",1,1,1,2
"141","0256 Prince Edward & 16th",1,1,1,2
"142","0257 Prince Edward & 14th",1,1,1,2
"143","0260 10th & Fraser",1,1,1,2
"144","0261 8th & Fraser",2,3,1,2
"145","0262 8th & Prince Edward",2,1,1,2
"146","0265 St Catherines & 10th",1,1,1,2
"147","0266 St Catherines & 7th",2,1,1,2
"148","0274 Victoria & 10th",2,1,1,2
"149","0601 Olympic Village Station",2,3,1,1
"150","0002 Burrard Station",4,4,1,3
"151","0014 Canada Place",3,2,1,4
"152","0021 Cordova & Granville",4,4,1,3
"153","0033 Robson & Denman",3,2,1,4
"154","0041 Cardero & Robson",4,2,1,3
"155","0044 Richards & Beach",4,4,1,3
"156","0077 Vanier Park",2,3,1,1
"157","0096 Nicola & Robson",4,4,1,3
"158","0105 Stanley Park - Totem Poles",3,2,1,4
"159","0126 Thurlow & Pendrell",4,4,1,3
"160","0147 Chestnut & McNicoll",2,3,1,1
"161","0190 Melville & Bute",4,4,1,3
"162","0201 Shaw Tower",3,2,1,4
"163","0207 Alberni & Jervis",4,2,1,3
"164","0213 Pender & Gore",2,3,1,1
"165","0229 Keefer & Princess",2,3,1,1
"166","0230 Alexander & Railway",2,3,1,1
"167","0231 Napier & Commercial",2,3,1,1
"168","0237 Glen & 6th",2,3,1,1
"169","0283 15th & Knight",1,1,1,2
"170","0602 Olympic Village Station - Parking Lot",2,3,1,1
"171","0161 Alexander & Dunlevy",2,3,1,1
"172","0193 Science World",2,3,1,1
"173","0225 McLean & Pender",2,3,1,1
"174","0254 Grandview Bike Lane & Commercial",2,1,1,1
"175","0272 Pender & Victoria",2,3,1,1
"176","0034 Cordova & Bute",3,2,1,4
"177","0227 Campbell & Hastings",2,3,1,1
"178","0232 Britannia Parking Lot",2,3,1,1
"179","0273 Victoria & 4th",2,1,1,1
"180","0285 Commercial & Pandora",2,3,1,1
"181","0224 Pender & Commercial",2,3,1,1
"182","0287 Carolina & Great Northern Way",2,3,1,1
"183","0297 6th & Prince Edward",2,3,1,1
"184","0258 13th & St George",1,1,1,2
"185","0298 6th & Carolina",1,1,1,2
"186","0280 Triumph & Victoria",2,3,1,1
"187","0233 Thornton & National",2,3,1,1
"188","0278 15th & Victoria",1,1,1,2
"189","0249 7th & Woodland",2,1,1,1
"190","",1,3,1,2
