"","id","fast_greedy","walks","infomap","louvain"
"136","0165 Columbia & 4th",3,1,1,2
"137","0222 Adanac & McLean",2,2,1,1
"138","0236 Keith & 6th",2,4,1,2
"139","0143 South False Creek Seawall",2,1,1,1
"140","0223 Commercial & Adanac",2,2,1,3
"141","0241 4th & Commercial",3,2,1,2
"142","0235 Charles & Commercial",2,2,1,1
"143","0231 Napier & Commercial",3,5,1,2
"144","0265 St Catherines & 10th",2,2,1,2
"145","0221 Union & Glen",1,8,1,4
"146","0994 station for tests",5,9,2,6
