"","id","fast_greedy","walks","infomap","louvain"
"138","0028 Davie & Beach",4,2,1,2
"139","0031 Morton & Denman",4,2,1,2
"140","0034 Cordova & Bute",4,2,1,3
"141","0035 Coal Harbour Community Centre",4,2,1,2
"142","0041 Cardero & Robson",4,2,1,3
"143","0052 Cambie & Water",3,5,1,3
"144","0077 Vanier Park",3,3,1,4
"145","0087 Broughton & Burnaby",5,5,1,3
"146","0093 Chilco & Robson",4,2,1,2
"147","0096 Nicola & Robson",5,5,1,3
"148","0101 Stanley Park - Vancouver Aquarium",4,2,1,2
"149","0102 Stanley Park - Second Beach North",4,2,1,2
"150","0104 Stanley Park - Second Beach South",4,2,1,2
"151","0105 Stanley Park - Totem Poles",4,2,1,2
"152","0108 1st & Chestnut",3,3,1,4
"153","0123 Georgia & Thurlow",5,5,1,3
"154","0126 Thurlow & Pendrell",5,5,1,3
"155","0154 Kitsilano Beach Park",3,3,1,4
"156","0159 Vine & 4th",1,3,1,1
"157","0187 Bute & Davie",5,5,1,3
"158","0196 Drake & Hornby",5,5,1,3
"159","0201 Shaw Tower",4,2,1,2
"160","0207 Alberni & Jervis",5,5,1,3
"161","0209 Stanley Park - Information Booth",4,2,1,2
"162","0213 Pender & Gore",3,3,1,4
"163","0221 Glen & Union",3,3,1,4
"164","0222 Adanac & McLean",3,1,1,4
"165","0224 Pender & Commercial",3,1,1,4
"166","0225 McLean & Pender",3,1,1,4
"167","0229 Keefer & Princess",3,3,1,4
"168","0230 Alexander & Railway",3,3,1,4
"169","0016 Pender & Burrard",5,5,1,3
"170","0084 Sunset Beach West",4,2,1,2
"171","0143 South False Creek Seawall",3,3,1,4
"172","0147 Chestnut & McNicoll",3,3,1,4
"173","0204 York & Yew",5,5,1,3
"174","0227 Campbell & Hastings",3,1,1,4
"175","0234 Station & National",3,3,1,4
"176","0238 Thornton & 1st",3,3,1,4
"177","0272 Pender & Victoria",3,1,1,4
"178","0285 Commercial & Pandora",3,1,1,4
"179","0232 Britannia Parking Lot",3,1,1,4
"180","0278 15th & Victoria",1,1,1,1
"181","0280 Triumph & Victoria",3,1,1,4
"182","0155 Arbutus & McNicoll",3,3,1,4
"183","0241 4th & Commercial",3,1,1,4
"184","0113 Arbutus & 16th",1,3,1,1
"185","0996 Balancer Bike Check In",3,1,1,4
"186","0997 HQ Workshop",3,1,1,4
"187","0997 WareHouse Workshop",1,6,1,4
"188","",2,7,1,5
"189","222-0999.4 Smoove_test_4",2,8,1,5
"190","223-0999.5 Smoove_test_5",2,9,1,5
